image_id,class_0_utility,class_1_utility,class_2_utility
image_00000,-0.7149965,1.4424498,0.8690355
image_00001,1.4222404,0.4425495,0.65292513
image_00002,1.5360754,0.17648101,0.80307204
image_00003,1.541492,1.2165396,1.0048144
image_00004,-1.8691859,1.6597266,1.5440626
image_00005,-0.12598176,-1.2983924,-0.66697264
image_00006,1.3251956,-0.37569708,0.117974155
image_00007,-1.6021242,-1.6679431,-1.1926366
image_00008,-1.1308999,0.39844486,-1.0191717
image_00009,-0.6542861,1.151929,-0.7192644
image_00010,1.6154925,-1.2458851,-1.0618778
image_00011,1.4473943,1.3909074,1.111126
image_00012,-0.34264594,-0.49137646,-0.5962836
image_00013,0.9893913,0.23434347,0.50078094
image_00014,0.383213,-1.5237962,-0.83900386
image_00015,-1.7146255,-1.657146,-1.2464279
image_00016,1.580372,1.3847734,1.0233548
image_00017,1.4109526,0.34104225,0.78557336
image_00018,0.943196,1.5669391,1.0913149
image_00019,1.4700012,-1.5449985,-0.64375925
image_00020,0.5457536,-1.0349579,-0.43708643
image_00021,-1.1344087,-1.3787446,-1.0454872
image_00022,1.6751645,1.0553321,0.9396929
image_00023,0.6110576,1.392401,0.9320482
image_00024,0.19726932,1.6027943,1.1866196
image_00025,-1.4122545,-0.9078995,-0.89702845
image_00026,-0.68718547,-0.64556074,-0.8367336
image_00027,-1.3654417,-1.6041775,-1.1270971
image_00028,-1.4887309,-1.4374615,-1.1749063
image_00029,1.504985,1.2872558,1.0195116
image_00030,-0.66937333,-0.25858337,0.38476127
image_00031,-1.4630122,-1.5053122,-1.0262508
image_00032,-0.86511296,-0.59707934,-1.0749869
image_00033,1.5268149,1.0482454,1.0640463
image_00034,-0.81816757,1.5523065,0.97582346
image_00035,-1.5779755,-1.5032943,-1.1291292
image_00036,1.6627489,1.2979438,1.0290773
image_00037,-0.0042580664,-1.0567774,-0.18193886
image_00038,0.29004377,-0.20431969,0.08193294
image_00039,-1.6175326,-1.7818031,-1.1990179
image_00040,1.5469944,1.3642474,0.9999264
image_00041,-0.78089696,1.0728045,0.41321015
image_00042,-0.5904186,-0.35126483,-0.70898
image_00043,-1.7660215,-1.7131261,-1.2057675
image_00044,1.6591457,-0.537377,0.18453056
image_00045,1.1271495,1.386305,1.0781575
image_00046,-0.65060985,0.42832276,-0.52427715
image_00047,-1.1863126,-1.5102869,-1.1770316
image_00048,-1.2226312,1.4632871,1.1833951
image_00049,-0.5570544,1.475888,0.75434834
