image_id,utility
image_00000,0.69241977
image_00001,0.9827883
image_00002,0.8169372
image_00003,1.2955401
image_00004,0.3545114
image_00005,-0.64865863
image_00006,0.108767934
image_00007,-1.6067655
image_00008,-0.32182643
image_00009,-0.010242619
image_00010,-0.060203455
image_00011,1.2453797
image_00012,-0.034441836
image_00013,0.48533878
image_00014,0.19195238
image_00015,-1.6524316
image_00016,1.4403673
image_00017,0.7755716
image_00018,1.346717
image_00019,-0.3872065
image_00020,-0.26306188
image_00021,-1.1630956
image_00022,1.4612076
image_00023,0.7588077
image_00024,0.8090793
image_00025,-1.4474702
image_00026,-0.86217624
image_00027,-1.3680238
image_00028,-1.5386229
image_00029,1.2587987
image_00030,-0.31074837
image_00031,-1.3021938
image_00032,-1.0413157
image_00033,1.2596304
image_00034,0.49919823
image_00035,-1.5854343
image_00036,1.4152058
image_00037,-0.65587264
image_00038,0.3209916
image_00039,-1.5384514
image_00040,1.3655269
image_00041,0.34313837
image_00042,-0.6705244
image_00043,-1.6601453
image_00044,0.13519782
image_00045,1.2710739
image_00046,-0.3020188
image_00047,-1.254462
image_00048,0.21700644
image_00049,0.83424026
